,sub_id,run,video_number,video_category,category,expected_fear,fear,arousal,valence
113,07,1,7,1,Heights,0.189,0.0,0.898,1.0
114,07,1,24,2,Social,0.106,0.0,0.934,0.96
115,07,1,30,3,Spiders,0.186,0.111,0.742,0.061
116,07,1,1,1,Heights,0.095,0.935,1.0,0.0
117,07,1,19,2,Social,0.124,0.0,1.0,1.0
118,07,1,13,2,Social,0.13,0.043,1.0,1.0
119,07,1,14,2,Social,0.148,0.192,0.828,0.182
120,07,2,8,1,Heights,0.174,0.0,1.0,1.0
121,07,2,27,3,Spiders,0.122,0.137,0.816,0.189
122,07,2,20,2,Social,0.122,0.057,0.813,0.21
123,07,2,29,3,Spiders,0.153,0.272,0.921,0.23
124,07,2,33,3,Spiders,0.178,0.082,0.732,0.247
125,07,2,34,3,Spiders,0.134,0.0,0.685,0.412
126,07,2,4,1,Heights,0.121,0.872,0.976,0.181
127,07,2,6,1,Heights,0.142,0.795,0.982,0.394
128,07,2,10,1,Heights,0.16,0.054,1.0,1.0
129,07,2,22,2,Social,0.083,0.0,0.828,0.872
130,07,2,16,2,Social,0.116,1.0,1.0,0.0
131,07,2,17,2,Social,0.106,0.0,0.828,0.886
132,07,3,5,1,Heights,0.14,0.816,1.0,0.389
133,07,3,9,1,Heights,0.22,0.0,1.0,1.0
134,07,3,23,2,Social,0.184,0.0,0.855,0.834
135,07,3,18,2,Social,0.161,0.119,0.803,0.223
136,07,3,15,2,Social,0.171,0.626,0.777,0.285
137,07,3,36,3,Spiders,0.22,0.085,0.737,0.247
138,07,3,21,2,Social,0.165,0.0,0.94,0.999
139,07,3,28,3,Spiders,0.106,0.221,0.756,0.083
140,07,3,26,3,Spiders,0.223,0.872,1.0,0.0
141,07,3,32,3,Spiders,0.202,0.07,0.872,0.6798385934572706
142,07,3,2,1,Heights,0.202,0.904,1.0,0.291
143,07,3,11,1,Heights,0.221,0.104,1.0,1.0
144,08,1,12,1,Heights,0.0,0.0,0.786,1.0
145,08,1,11,1,Heights,0.0,0.0,0.54,1.0
146,08,1,5,1,Heights,0.0,0.072,0.971,0.82
147,08,1,25,3,Spiders,0.829,0.922,1.0,0.0
148,08,1,15,2,Social,0.0,0.0,0.769,0.618
149,08,1,6,1,Heights,0.0,0.109,0.854,0.636
150,08,1,35,3,Spiders,0.878,0.114,0.651,0.312
151,08,1,27,3,Spiders,0.763,1.0,1.0,0.0
152,08,1,34,3,Spiders,0.836,0.0,0.797,0.319
153,08,1,20,2,Social,0.0,0.0,0.499,0.675
154,08,1,19,2,Social,0.015,0.0,0.59,0.147
155,08,1,18,2,Social,0.0,0.0,0.252,0.0
156,08,2,29,3,Spiders,0.665,0.859,1.0,0.0
157,08,2,36,3,Spiders,0.771,0.0,0.496,0.366
158,08,2,32,3,Spiders,0.649,0.0,0.568,0.743
159,08,2,8,1,Heights,0.013,0.0,0.119,1.0
160,08,2,9,1,Heights,0.0,0.0,0.0,0.807
161,08,2,16,2,Social,0.0,0.134,0.618,0.052
162,08,2,30,3,Spiders,0.646,0.352,0.53,0.259
163,08,2,2,1,Heights,0.0,0.771,0.825,0.0
164,08,2,3,1,Heights,0.046,1.0,1.0,0.0
165,08,2,17,2,Social,0.0,0.0,1.0,0.499
166,08,2,24,2,Social,0.0,0.0,0.813,0.121
167,08,2,23,2,Social,0.0,0.0,0.20924873148480347,0.499
168,08,3,7,1,Heights,0.0,0.0,0.499,0.499
169,08,3,4,1,Heights,0.0,0.0,0.833,0.712
170,08,3,28,3,Spiders,0.727,1.0,1.0,0.0
171,08,3,26,3,Spiders,0.838,1.0,1.0,0.0
172,08,3,33,3,Spiders,0.851,0.773,0.808,0.0
